time_key,分时_MA3,分时_MA5,VWAP,分时趋势结构,上下影线结构,分时量能趋势,成交金额趋势,涨跌幅强度,现价,换手率,昨收,成交量,成交额,昨日最高,昨日最低,反抽次数,OPEN强度,高点结构,早盘低点,托单压单,买一量,卖一量,score
2025-12-09 10:25:00,21.56,21.636,19.787,下降,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:26:00,21.53,21.592,19.788,下降,正常,缩量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:27:00,21.597,21.578,19.791,下降,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:28:00,21.593,21.572,19.792,震荡,正常,缩量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:29:00,21.627,21.594,19.792,弱上升,正常,缩量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:30:00,21.61,21.608,19.793,强上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:31:00,21.623,21.628,19.794,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:32:00,21.647,21.624,19.795,弱上升,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:33:00,21.693,21.668,19.796,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:34:00,21.78,21.72,19.797,强上升,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:35:00,21.827,21.754,19.798,强上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:36:00,21.83,21.792,19.799,强上升,长下影(承接),平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:37:00,21.803,21.814,19.8,强上升,正常,缩量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:38:00,21.767,21.798,19.8,弱上升,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:39:00,21.717,21.754,19.801,下降,正常,平量,流出,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:40:00,21.673,21.722,19.801,下降,正常,平量,流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:41:00,21.683,21.71,19.802,下降,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
2025-12-09 10:42:00,21.733,21.712,19.802,震荡,正常,平量(无量上冲),流入,1.45%,22.32,25.178,22.0,399908517,885922.1,22.63,21.25,8,极强(1.96%),正常,15.77,压单极强 (委比:0.17),5200,1500,50.0
