source_file,date,time,ticker,side,strike,option_type,expiry,dte,price,bid_ask_range,spot,size,premium,volume,oi,vol_oi,chain_bid_ask,share_eqv,iv_pct,delta,theta,gamma,vega,rho,theo,sector,industry,earnings,rule,contract
ORCL_12.11_190call2025-12-26.txt,2025-12-11,04:50:01,ORCL,ASK,200,put,2027-09-17,644d,$223.85,$38.15 - $39.25,$39.25,15,$59K,15,5,3.00,100%,-464,45.94,-0.3092,-0.0365,0.0026,1.0495,-1.9198,39.25,Technology,Software Infrastructure,87,,200 put 2027-09-17
ORCL_12.11_190call2025-12-26.txt,2025-12-11,04:40:56,ORCL,BID,217.5,put,2025-12-26,14d,$224.35,$10.25 - $10.80,$10.48,138,$145K,189,74,2.55,77%,"-5,390",73.97,-0.3906,-0.4164,0.011,0.1803,-0.043,10.48,Technology,Software Infrastructure,87,,217.5 put 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-11,03:10:22,ORCL,ASK,247.5,call,2025-12-12,0d,$220.67,$3.25 - $3.50,$3.39,"1,488",$504K,"1,635","1,306",1.25,95%,"31,940",180.80,0.2146,-2.1554,0.0099,0.0477,0.0024,3.39,Technology,Software Infrastructure,87,,247.5 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-11,03:10:22,ORCL,BID,237.5,call,2025-12-12,0d,$220.67,$5.30 - $5.60,$5.44,"3,224",$1.75M,"3,691",745,4.95,96%,"100,395",178.00,0.3114,-2.5697,0.0122,0.0577,0.0035,5.44,Technology,Software Infrastructure,87,,237.5 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-11,02:15:41,ORCL,ASK,200,put,2026-01-02,21d,$219.99,$5.70 - $5.95,$5.85,600,$351K,653,362,1.80,95%,"-15,113",64.66,-0.2519,-0.2474,0.0089,0.1762,-0.0386,5.85,Technology,Software Infrastructure,87,,200 put 2026-01-02
ORCL_12.11_190call2025-12-26.txt,2025-12-11,01:34:28,ORCL,BID,325,put,2025-12-12,0d,$219.36,$103.95 - $106.45,$103.95,3,$31K,3,0,-,100%,-287,293.96,-0.9552,-1.1255,0.002,0.0153,-0.0173,106.45,Technology,Software Infrastructure,87,,325 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-11,00:18:50,ORCL,ASK,227.5,put,2025-12-26,14d,$221.29,$16.85 - $17.55,$17.22,18,$31K,28,3,9.33,100%,-972,74.25,-0.5398,-0.4263,0.0115,0.1839,-0.0599,17.22,Technology,Software Infrastructure,87,,227.5 put 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-10,22:54:10,ORCL,ASK,305,put,2026-01-23,42d,$220.06,$85.10 - $87.10,$86.12,10,$86K,10,0,-,100%,-932,59.02,-0.9318,-0.0659,0.0029,0.1006,-0.351,86.12,Technology,Software Infrastructure,87,,305 put 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-10,22:54:10,ORCL,ASK,190,call,2026-01-23,42d,$220.07,$35.05 - $36.15,$36.15,10,$36K,11,5,2.20,91%,791,60.16,0.7907,-0.151,0.0063,0.2198,0.1662,36.15,Technology,Software Infrastructure,87,,190 call 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-10,22:50:19,ORCL,ASK,190,put,2025-12-12,0d,$220.24,$1.67 - $1.68,$1.68,"9,891",$1.66M,"12,385","3,635",3.41,98%,"-113,010",175.12,-0.1143,-1.3789,0.0068,0.0315,-0.0015,1.68,Technology,Software Infrastructure,87,,190 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-10,22:47:48,ORCL,BID,277.5,call,2025-12-12,0d,$220.83,$0.99 - $1.01,$0.99,980,$97K,"1,068",230,4.64,96%,"7,042",200.83,0.0719,-1.1244,0.0042,0.0224,0.0008,0.99,Technology,Software Infrastructure,87,,277.5 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-10,22:32:35,ORCL,BID,195,call,2026-01-23,42d,$220.79,$33.00 - $34.85,$33.00,10,$33K,10,3,3.33,100%,760,59.44,0.7599,-0.1617,0.0068,0.2383,0.1625,33.00,Technology,Software Infrastructure,87,,195 call 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-10,04:44:11,ORCL,ASK,170,call,2026-07-17,217d,$221.63,$66.10 - $67.30,$66.74,5,$33K,5,2,2.50,100%,396,58.24,0.7928,-0.066,0.0029,0.4919,0.6569,66.74,Technology,Software Infrastructure,87,,170 call 2026-07-17
ORCL_12.11_190call2025-12-26.txt,2025-12-10,01:24:34,ORCL,ASK,115,put,2026-08-21,252d,$221.38,$2.63 - $2.72,$2.70,400,$108K,400,106,3.77,100%,"-2,047",56.19,-0.0512,-0.0213,0.001,0.1944,-0.098,2.70,Technology,Software Infrastructure,87,,115 put 2026-08-21
ORCL_12.11_190call2025-12-26.txt,2025-12-10,00:39:42,ORCL,BID,262.5,put,2025-12-12,0d,$221.20,$42.20 - $43.50,$42.83,20,$86K,20,0,-,100%,"-1,775",147.62,-0.8873,-0.9434,0.0065,0.0384,-0.0197,42.83,Technology,Software Infrastructure,87,,262.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-10,00:00:11,ORCL,BID,295,put,2025-12-12,0d,$220.01,$73.85 - $76.45,$75.14,13,$98K,13,0,-,100%,"-1,280",145.45,-0.9845,-0.1869,0.0013,0.0077,-0.024,75.14,Technology,Software Infrastructure,87,,295 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-09,22:39:24,ORCL,BID,195,call,2025-12-12,0d,$220.77,$28.25 - $29.00,$28.60,500,$1.43M,501,163,3.07,100%,"41,735",151.38,0.8347,-1.2554,0.0082,0.0497,0.0128,28.60,Technology,Software Infrastructure,87,,195 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-09,04:16:08,ORCL,BID,245,call,2026-01-23,42d,$219.09,$8.15 - $9.45,$8.77,50,$44K,57,8,7.13,95%,"1,649",57.85,0.3299,-0.1774,0.008,0.2816,0.08,8.77,Technology,Software Infrastructure,87,,245 call 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-09,02:44:45,ORCL,BID,195,call,2027-09-17,644d,$218.95,$73.35 - $73.90,$73.35,9,$66K,9,1,9.00,100%,633,56.07,0.7038,-0.0443,0.0021,1.0085,1.4334,73.35,Technology,Software Infrastructure,87,,195 call 2027-09-17
ORCL_12.11_190call2025-12-26.txt,2025-12-09,02:44:32,ORCL,BID,200,call,2027-09-17,644d,$218.91,$71.05 - $72.30,$71.05,10,$71K,10,1,10.00,100%,692,55.84,0.6915,-0.0449,0.0022,1.0268,1.4261,71.05,Technology,Software Infrastructure,87,,200 call 2027-09-17
ORCL_12.11_190call2025-12-26.txt,2025-12-09,02:17:10,ORCL,ASK,290,call,2025-12-26,14d,$220.91,$1.04 - $1.09,$1.09,"1,000",$109K,"1,053",236,4.46,96%,"6,896",78.02,0.069,-0.1412,0.0035,0.0651,0.007,1.09,Technology,Software Infrastructure,87,,290 call 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-09,01:12:43,ORCL,ASK,272.5,put,2025-12-12,0d,$218.41,$53.90 - $55.00,$55.00,20,$110K,20,1,20.00,100%,"-1,860",136.54,-0.9301,-0.5226,0.0043,0.0307,-0.0283,55.00,Technology,Software Infrastructure,87,,272.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:54:15,ORCL,ASK,285,put,2025-12-26,14d,$218.82,$66.25 - $66.95,$66.95,15,$100K,15,14,1.07,100%,"-1,415",71.45,-0.9436,-0.1086,0.0033,0.0551,-0.1348,66.95,Technology,Software Infrastructure,87,,285 put 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:44:27,ORCL,BID,255,put,2026-01-09,28d,$218.45,$40.00 - $41.95,$40.76,30,$122K,30,2,15.00,100%,"-2,362",59.03,-0.7872,-0.1721,0.0076,0.1879,-0.1865,40.76,Technology,Software Infrastructure,87,,255 put 2026-01-09
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:44:27,ORCL,ASK,250,put,2026-01-09,28d,$218.45,$36.00 - $37.35,$36.82,30,$110K,30,11,2.73,100%,"-2,248",59.80,-0.7493,-0.1912,0.0082,0.2058,-0.1758,36.82,Technology,Software Infrastructure,87,,250 put 2026-01-09
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:29:18,ORCL,ASK,120,put,2028-01-21,770d,$219.16,$12.80 - $13.30,$13.12,600,$787K,602,94,6.40,100%,"-6,971",50.55,-0.1162,-0.0201,0.0012,0.624,-0.8181,13.12,Technology,Software Infrastructure,87,,120 put 2028-01-21
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:29:18,ORCL,BID,175,put,2028-01-21,770d,$219.16,$32.50 - $33.45,$32.69,300,$981K,300,132,2.27,100%,"-7,451",46.81,-0.2484,-0.0299,0.0021,1.0106,-1.8475,32.69,Technology,Software Infrastructure,87,,175 put 2028-01-21
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:17:00,ORCL,ASK,205,put,2026-01-23,42d,$218.76,$10.65 - $11.60,$11.13,30,$33K,34,3,11.33,97%,"-1,009",57.31,-0.3364,-0.1761,0.0082,0.2834,-0.1068,11.13,Technology,Software Infrastructure,87,,205 put 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-09,00:09:42,ORCL,ASK,222.5,put,2025-12-26,14d,$218.70,$15.60 - $16.40,$16.10,20,$32K,36,0,-,94%,"-1,021",72.35,-0.5106,-0.3888,0.0113,0.1937,-0.063,16.10,Technology,Software Infrastructure,87,,222.5 put 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-08,23:13:17,ORCL,BID,222.5,call,2025-12-26,14d,$219.86,$13.15 - $13.50,$13.15,23,$30K,43,0,-,72%,"1,158",73.72,0.5037,-0.3991,0.0111,0.1948,0.0481,13.15,Technology,Software Infrastructure,87,,222.5 call 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-08,22:59:26,ORCL,ASK,232.5,put,2025-12-12,0d,$220.93,$18.50 - $19.15,$18.99,37,$70K,49,5,9.80,98%,"-2,293",130.61,-0.6198,-1.4375,0.0126,0.0881,-0.0171,18.99,Technology,Software Infrastructure,87,,232.5 put 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-08,22:32:12,ORCL,BID,227.5,call,2025-12-19,7d,$222.68,$11.40 - $11.55,$11.40,39,$44K,40,0,-,98%,"1,850",87.79,0.4745,-0.6144,0.0117,0.1539,0.0284,11.40,Technology,Software Infrastructure,87,,227.5 call 2025-12-19
ORCL_12.11_190call2025-12-26.txt,2025-12-06,04:30:12,ORCL,ASK,155,call,2026-08-21,252d,$216.68,$74.65 - $75.20,$75.20,8,$60K,8,3,2.67,100%,658,58.90,0.8231,-0.0547,0.0024,0.4737,0.732,75.20,Technology,Software Infrastructure,87,,155 call 2026-08-21
ORCL_12.11_190call2025-12-26.txt,2025-12-06,04:27:51,ORCL,ASK,247.5,call,2025-12-12,0d,$216.55,$2.81 - $2.83,$2.83,455,$129K,860,0,-,87%,"8,397",99.72,0.1846,-0.5695,0.0089,0.0799,0.0071,2.83,Technology,Software Infrastructure,87,,247.5 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-06,04:05:11,ORCL,ASK,165,call,2026-01-02,21d,$216.16,$51.55 - $54.00,$52.79,10,$53K,10,5,2.00,100%,924,73.14,0.9244,-0.1119,0.0033,0.0853,0.1128,52.79,Technology,Software Infrastructure,87,,165 call 2026-01-02
ORCL_12.11_190call2025-12-26.txt,2025-12-06,03:46:59,ORCL,ASK,460,put,2027-01-15,399d,$215.70,$243.00 - $246.50,$244.85,3,$73K,3,0,-,100%,-282,40.23,-0.9413,-0.0098,0.0013,0.2665,-4.9819,244.85,Technology,Software Infrastructure,87,,460 put 2027-01-15
ORCL_12.11_190call2025-12-26.txt,2025-12-06,01:39:07,ORCL,BID,255,call,2025-12-19,7d,$214.57,$2.62 - $2.80,$2.70,"1,194",$322K,"1,401",600,2.34,95%,"19,092",81.96,0.1599,-0.2993,0.0071,0.1022,0.0121,2.70,Technology,Software Infrastructure,87,,255 call 2025-12-19
ORCL_12.11_190call2025-12-26.txt,2025-12-06,00:02:12,ORCL,ASK,172.5,call,2025-12-12,0d,$217.58,$44.80 - $46.00,$46.00,20,$92K,20,14,1.43,100%,"1,882",112.83,0.9411,-0.2855,0.0035,0.0354,0.0304,46.00,Technology,Software Infrastructure,87,,172.5 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-05,23:28:20,ORCL,BID,135,put,2026-09-18,280d,$218.44,$5.55 - $7.65,$6.50,400,$260K,400,120,3.33,100%,"-4,204",53.72,-0.1051,-0.0328,0.0017,0.3525,-0.2316,6.50,Technology,Software Infrastructure,87,,135 put 2026-09-18
ORCL_12.11_190call2025-12-26.txt,2025-12-05,23:13:13,ORCL,ASK,115,call,2026-08-21,252d,$217.46,$107.00 - $108.55,$108.14,5,$54K,5,1,5.00,100%,461,66.49,0.9224,-0.0349,0.0012,0.2662,0.6559,108.14,Technology,Software Infrastructure,87,,115 call 2026-08-21
ORCL_12.11_190call2025-12-26.txt,2025-12-05,23:10:04,ORCL,ASK,245,call,2026-01-09,28d,$216.89,$6.30 - $7.00,$7.00,63,$44K,65,28,2.32,97%,"1,856",61.81,0.2946,-0.2048,0.0083,0.2316,0.0546,7.00,Technology,Software Infrastructure,87,,245 call 2026-01-09
ORCL_12.11_190call2025-12-26.txt,2025-12-05,22:56:20,ORCL,ASK,255,put,2026-01-23,42d,$214.76,$43.30 - $46.20,$44.76,10,$45K,10,1,10.00,100%,-787,52.54,-0.7865,-0.1216,0.007,0.229,-0.2869,44.76,Technology,Software Infrastructure,87,,255 put 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-05,22:56:20,ORCL,BID,250,put,2026-01-23,42d,$214.76,$39.25 - $42.20,$40.71,10,$41K,11,0,-,91%,-754,52.84,-0.7538,-0.1326,0.0076,0.248,-0.272,40.71,Technology,Software Infrastructure,87,,250 put 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-05,22:40:01,ORCL,BID,180,call,2026-01-09,28d,$216.46,$39.25 - $41.85,$40.50,39,$158K,40,9,4.44,98%,"3,287",65.95,0.8428,-0.1527,0.0054,0.1612,0.1361,40.50,Technology,Software Infrastructure,87,,180 call 2026-01-09
ORCL_12.11_190call2025-12-26.txt,2025-12-05,22:34:15,ORCL,BID,185,call,2026-01-23,42d,$217.64,$39.10 - $40.60,$39.10,9,$35K,9,0,-,100%,716,62.45,0.7955,-0.1449,0.0057,0.2262,0.1799,39.10,Technology,Software Infrastructure,87,,185 call 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-05,22:31:47,ORCL,ASK,185,put,2027-06-17,552d,$217.68,$29.55 - $32.45,$31.02,380,$1.18M,380,81,4.69,100%,"-10,704",46.95,-0.2817,-0.0375,0.0027,0.9094,-1.4141,31.02,Technology,Software Infrastructure,87,,185 put 2027-06-17
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:42:16,ORCL,BID,400,call,2026-04-17,126d,$214.98,$1.40 - $1.50,$1.40,"2,999",$420K,"3,150","1,151",2.74,99%,"15,328",56.68,0.0511,-0.029,0.0014,0.1367,0.0352,1.40,Technology,Software Infrastructure,87,,400 call 2026-04-17
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:42:16,ORCL,ASK,260,call,2026-04-17,126d,$214.98,$13.15 - $13.55,$13.55,"5,998",$8.13M,"7,628",919,8.30,79%,"204,264",54.31,0.3406,-0.0971,0.0052,0.4776,0.219,13.55,Technology,Software Infrastructure,87,,260 call 2026-04-17
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:09:24,ORCL,BID,240,put,2025-12-05,-7d,$213.98,$24.85 - $26.50,$24.85,109,$271K,145,60,2.42,75%,"-10,144",144.37,-0.9307,-1.0769,0.0082,0.0149,-0.0062,26.50,Technology,Software Infrastructure,87,,240 put 2025-12-05
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:09:24,ORCL,BID,250,put,2025-12-05,-7d,$213.98,$34.85 - $37.60,$34.93,52,$182K,53,7,7.57,98%,"-4,557",243.41,-0.8764,-2.7826,0.0075,0.0229,-0.0062,37.60,Technology,Software Infrastructure,87,,250 put 2025-12-05
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:09:24,ORCL,BID,265,put,2025-12-05,-7d,$213.98,$49.85 - $52.60,$49.85,19,$95K,19,7,2.71,100%,"-1,703",304.70,-0.8964,-3.0729,0.0053,0.0202,-0.0067,52.60,Technology,Software Infrastructure,87,,265 put 2025-12-05
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:09:24,ORCL,BID,260,put,2025-12-05,-7d,$213.98,$44.85 - $47.60,$44.85,15,$67K,17,2,8.50,100%,"-1,336",285.08,-0.8908,-2.9853,0.0059,0.0209,-0.0065,47.60,Technology,Software Infrastructure,87,,260 put 2025-12-05
ORCL_12.11_190call2025-12-26.txt,2025-12-05,04:09:24,ORCL,BID,275,put,2025-12-05,-7d,$213.98,$59.85 - $62.60,$59.85,7,$42K,7,1,7.00,100%,-634,341.91,-0.9053,-3.2279,0.0044,0.0189,-0.007,62.60,Technology,Software Infrastructure,87,,275 put 2025-12-05
ORCL_12.11_190call2025-12-26.txt,2025-12-05,01:55:17,ORCL,ASK,285,put,2026-01-09,28d,$213.14,$71.70 - $74.10,$73.04,10,$73K,10,0,-,100%,-926,60.00,-0.926,-0.0767,0.0035,0.0938,-0.2667,73.04,Technology,Software Infrastructure,87,,285 put 2026-01-09
ORCL_12.11_190call2025-12-26.txt,2025-12-05,01:45:52,ORCL,ASK,125,put,2026-04-17,126d,$212.69,$1.86 - $2.13,$2.00,750,$150K,750,495,1.52,100%,"-3,911",61.03,-0.0521,-0.0312,0.0014,0.1374,-0.0481,2.00,Technology,Software Infrastructure,87,,125 put 2026-04-17
ORCL_12.11_190call2025-12-26.txt,2025-12-05,01:25:51,ORCL,BID,260,call,2026-04-17,126d,$212.51,$12.50 - $12.90,$12.60,"1,500",$1.89M,"1,563",919,1.70,97%,"48,958",54.04,0.3264,-0.0939,0.0052,0.4642,0.2084,12.60,Technology,Software Infrastructure,87,,260 call 2026-04-17
ORCL_12.11_190call2025-12-26.txt,2025-12-05,01:08:12,ORCL,BID,245,call,2025-12-26,14d,$212.25,$4.40 - $4.60,$4.40,421,$185K,477,285,1.67,92%,"9,536",69.87,0.2265,-0.2492,0.0083,0.1569,0.0263,4.40,Technology,Software Infrastructure,87,,245 call 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-05,00:45:12,ORCL,ASK,185,call,2025-12-26,14d,$212.29,$30.30 - $31.95,$31.95,20,$64K,24,13,1.85,92%,"1,604",73.99,0.802,-0.2444,0.0072,0.145,0.0834,31.95,Technology,Software Infrastructure,87,,185 call 2025-12-26
ORCL_12.11_190call2025-12-26.txt,2025-12-05,00:45:09,ORCL,ASK,170,call,2025-12-12,0d,$212.33,$42.05 - $43.55,$43.55,15,$65K,15,14,1.07,100%,"1,389",109.88,0.9262,-0.3023,0.004,0.0439,0.0336,43.55,Technology,Software Infrastructure,87,,170 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-04,22:57:36,ORCL,ASK,205,call,2026-01-23,42d,$207.32,$18.05 - $21.15,$21.15,15,$32K,15,0,-,100%,851,65.68,0.5671,-0.1987,0.0078,0.3018,0.1321,21.15,Technology,Software Infrastructure,87,,205 call 2026-01-23
ORCL_12.11_190call2025-12-26.txt,2025-12-04,04:56:00,ORCL,ASK,260,put,2026-01-09,28d,$207.72,$52.95 - $56.10,$54.55,10,$55K,10,3,3.33,100%,-869,57.95,-0.8694,-0.1087,0.0055,0.1404,-0.2384,54.55,Technology,Software Infrastructure,87,,260 put 2026-01-09
ORCL_12.11_190call2025-12-26.txt,2025-12-04,04:50:50,ORCL,ASK,105,put,2028-01-21,770d,$207.30,$8.80 - $10.25,$9.75,480,$468K,482,27,17.85,100%,"-4,631",50.24,-0.0965,-0.0165,0.0011,0.5177,-0.6349,9.75,Technology,Software Infrastructure,87,,105 put 2028-01-21
ORCL_12.11_190call2025-12-26.txt,2025-12-04,04:43:14,ORCL,ASK,165,call,2025-12-12,0d,$206.97,$42.65 - $43.20,$43.20,17,$73K,20,10,2.00,95%,"1,574",106.04,0.9257,-0.2696,0.0041,0.0457,0.0366,43.20,Technology,Software Infrastructure,87,,165 call 2025-12-12
ORCL_12.11_190call2025-12-26.txt,2025-12-04,01:15:17,ORCL,ASK,290,put,2027-09-17,644d,$204.89,$103.80 - $105.45,$105.45,5,$53K,5,0,-,100%,-316,41.60,-0.632,-0.0311,0.0033,1.0329,-4.2033,105.45,Technology,Software Infrastructure,87,,290 put 2027-09-17
ORCL_12.11_190call2025-12-26.txt,2025-12-04,01:13:20,ORCL,BID,275,put,2025-12-05,-7d,$205.22,$69.75 - $72.00,$69.75,11,$77K,11,1,11.00,100%,-978,297.09,-0.889,-2.1351,0.0042,0.0288,-0.0139,72.00,Technology,Software Infrastructure,87,,275 put 2025-12-05
